subj,roi,round,n,centroid_y,depth_mean,depth_sd,gmm_k,anat_spread,roi_depth_score
sub-01,Rnd1Tmax2day2VB,1,169,-80.223,-3.813,1.994,2,0.811,0.705
sub-01,Rnd2Tmax1day1VA,2,182,-89.724,-4.602,2.632,2,0.785,0.726
sub-01,Rnd3Tmax1day2VB,3,125,-71.492,-2.636,1.768,2,0.755,0.749
sub-01,Rnd4Tmax1day2VA,4,180,-59.688,0.873,4.09,2,1.699,0.0
sub-01,Rnd5Tmax1day3PF,5,103,-55.182,-1.323,1.826,3,0.439,1.0
sub-01,Rnd6Tmax2day3PF,6,60,-45.449,1.132,2.621,2,1.029,0.532
sub-02,Rnd1Tmax2day1VA,1,123,-30.87,0.489,1.831,2,0.775,0.684
sub-02,Rnd2Tmax2day2VA,2,129,-22.642,1.631,3.118,2,1.351,0.0
sub-02,Rnd3Tmax1day2VA,3,126,-25.141,1.738,2.333,2,0.866,0.575
sub-02,Rnd4Tmax1day1VA,4,155,-40.128,-7.884,1.179,2,0.509,1.0
sub-02,Rnd5Tmax2day2VA,5,141,-40.495,-2.098,1.993,1,1.299,0.062
sub-02,Rnd6Tmax2day1VB,6,182,-11.888,-4.085,3.105,3,0.747,0.717
sub-03,Rnd1Tmax1day2VA,1,142,-57.193,-5.212,1.615,2,0.741,0.738
sub-03,Rnd2Tmax2day2VB,2,147,-10.943,2.234,2.11,1,1.753,0.0
sub-03,Rnd3Tmax2day2VA,3,166,-27.063,3.373,2.992,2,0.964,0.575
sub-03,Rnd4Tmax2day2VB,4,146,-33.281,1.603,2.384,2,0.982,0.562
sub-03,Rnd5Tmax1day1VA,5,161,-41.071,-4.681,1.272,2,0.381,1.0
sub-03,Rnd6Tmax2day2VA,6,116,-31.46,1.687,2.423,1,1.68,0.053
sub-03,Rnd7Tmax1day1VA,7,161,-13.243,2.925,4.102,4,0.624,0.823
sub-03,Rnd8Tmax2day3PF,8,129,-38.525,2.633,2.345,2,0.588,0.849
sub-03,Rnd9Tmax1day3PF,9,117,-23.378,-0.45,5.176,3,0.978,0.565
sub-04,Rnd1Tmax2day1VB,1,140,-46.538,-4.045,2.454,1,1.702,0.0
sub-04,Rnd2Tmax2day2VB,2,160,-35.441,-2.343,3.471,2,1.307,0.365
sub-04,Rnd3Tmax1day1VA,3,141,-65.637,-5.365,1.981,2,0.879,0.761
sub-04,Rnd4Tmax1day2VA,4,168,-40.484,0.793,2.577,3,0.712,0.915
sub-04,Rnd5Tmax2day2VA,5,182,-13.799,4.882,1.65,2,0.621,1.0
sub-04,Rnd6Tmax2day1VA,6,203,-53.402,-3.89,2.441,2,1.078,0.577
sub-05,Rnd1Tmax2day1VB,1,176,-43.583,-3.585,3.17,2,1.107,0.646
sub-05,Rnd2Tmax2day1VB,2,175,-31.381,8.206,2.482,2,0.96,0.809
sub-05,Rnd3Tmax2day1VB,3,167,-11.335,2.247,2.996,2,1.218,0.523
sub-05,Rnd4Tmax2day3PF,4,221,-33.518,0.671,4.443,2,1.692,0.0
sub-05,Rnd5Tmax2day1VB,5,196,-50.768,-6.415,2.361,2,1.083,0.673
sub-05,Rnd6Tmax1day1VA,6,136,-54.004,-5.139,2.345,2,0.787,1.0
sub-05,Rnd7Tmax2day3PF,7,160,-39.423,3.873,2.485,2,1.085,0.671
sub-05,Rnd8Tmax2day1VB,8,123,-16.056,-0.555,4.018,2,1.52,0.19
sub-05,Rnd9Tmax2day5BCBL,9,128,-52.467,0.6,2.187,1,1.565,0.14
sub-05,Rnd10Tmax1day6BCBL,10,236,-21.92,2.108,5.159,3,1.219,0.523
sub-05,Rnd11Tmax2day1VA,11,180,-34.137,-2.198,3.571,2,1.458,0.259
