subj,roi,round,n,centroid_y,faces_supra,limbs_supra,pct_clean,roi_nontarget_score
sub-01,Rnd1Tmax2day2VB,1,169,-80.223,45,33,72.8,0.321
sub-01,Rnd2Tmax1day1VA,2,182,-89.724,115,90,33.0,0.117
sub-01,Rnd3Tmax1day2VB,3,125,-71.492,39,51,56.0,0.134
sub-01,Rnd4Tmax1day2VA,4,180,-59.688,0,0,100.0,0.739
sub-01,Rnd5Tmax1day3PF,5,103,-55.182,2,0,98.1,0.572
sub-01,Rnd6Tmax2day3PF,6,60,-45.449,0,0,100.0,0.722
sub-02,Rnd1Tmax2day1VA,1,123,-30.87,65,8,47.2,0.103
sub-02,Rnd2Tmax2day2VA,2,129,-22.642,32,0,75.2,0.229
sub-02,Rnd3Tmax1day2VA,3,126,-25.141,71,20,42.9,0.126
sub-02,Rnd4Tmax1day1VA,4,155,-40.128,93,88,38.1,0.153
sub-02,Rnd5Tmax2day2VA,5,141,-40.495,6,33,75.9,0.422
sub-02,Rnd6Tmax2day1VB,6,182,-11.888,0,0,100.0,0.524
sub-03,Rnd1Tmax1day2VA,1,142,-57.193,71,58,40.8,0.135
sub-03,Rnd2Tmax2day2VB,2,147,-10.943,0,0,100.0,0.752
sub-03,Rnd3Tmax2day2VA,3,166,-27.063,127,11,23.5,0.034
sub-03,Rnd4Tmax2day2VB,4,146,-33.281,4,26,79.5,0.33
sub-03,Rnd5Tmax1day1VA,5,161,-41.071,36,57,50.9,0.118
sub-03,Rnd6Tmax2day2VA,6,116,-31.46,0,0,100.0,0.349
sub-03,Rnd7Tmax1day1VA,7,161,-13.243,0,0,100.0,0.746
sub-03,Rnd8Tmax2day3PF,8,129,-38.525,0,53,58.9,0.175
sub-03,Rnd9Tmax1day3PF,9,117,-23.378,17,9,85.5,0.399
sub-04,Rnd1Tmax2day1VB,1,140,-46.538,2,3,96.4,0.46
sub-04,Rnd2Tmax2day2VB,2,160,-35.441,0,0,100.0,0.883
sub-04,Rnd3Tmax1day1VA,3,141,-65.637,102,74,26.2,0.052
sub-04,Rnd4Tmax1day2VA,4,168,-40.484,85,4,49.4,0.135
sub-04,Rnd5Tmax2day2VA,5,182,-13.799,0,0,100.0,0.917
sub-04,Rnd6Tmax2day1VA,6,203,-53.402,28,108,44.3,0.177
sub-05,Rnd1Tmax2day1VB,1,176,-43.583,37,80,54.0,0.152
sub-05,Rnd2Tmax2day1VB,2,175,-31.381,0,0,100.0,0.756
sub-05,Rnd3Tmax2day1VB,3,167,-11.335,20,0,88.0,0.288
sub-05,Rnd4Tmax2day3PF,4,221,-33.518,0,15,93.2,0.401
sub-05,Rnd5Tmax2day1VB,5,196,-50.768,101,21,45.4,0.099
sub-05,Rnd6Tmax1day1VA,6,136,-54.004,24,36,73.5,0.247
sub-05,Rnd7Tmax2day3PF,7,160,-39.423,16,45,61.9,0.186
sub-05,Rnd8Tmax2day1VB,8,123,-16.056,0,0,100.0,0.815
sub-05,Rnd9Tmax2day5BCBL,9,128,-52.467,7,28,78.1,0.124
sub-05,Rnd10Tmax1day6BCBL,10,236,-21.92,3,27,87.3,0.34
sub-05,Rnd11Tmax2day1VA,11,180,-34.137,91,28,45.0,0.139
