subj,roi,n_sessions,n_orig,n_kept,n_trim_contiguous,n_fragments,pct_retained
sub-01,Rnd1Tmax2day2VB,5,169,87,87,1,51.5
sub-01,Rnd2Tmax1day1VA,5,182,87,87,1,47.8
sub-01,Rnd3Tmax1day2VB,5,125,69,69,1,55.2
sub-01,Rnd4Tmax1day2VA,5,180,64,64,1,35.6
sub-01,Rnd5Tmax1day3PF,5,103,13,13,1,12.6
sub-01,Rnd6Tmax2day3PF,5,60,13,13,1,21.7
sub-02,Rnd1Tmax2day1VA,4,123,93,93,1,75.6
sub-02,Rnd2Tmax2day2VA,4,129,91,91,1,70.5
sub-02,Rnd3Tmax1day2VA,4,126,96,96,1,76.2
sub-02,Rnd4Tmax1day1VA,4,155,77,77,1,49.7
sub-02,Rnd5Tmax2day2VA,4,141,82,82,1,58.2
sub-02,Rnd6Tmax2day1VB,4,182,69,64,2,35.2
sub-03,Rnd1Tmax1day2VA,5,142,102,101,2,71.1
sub-03,Rnd2Tmax2day2VB,5,147,99,99,1,67.3
sub-03,Rnd3Tmax2day2VA,5,166,97,97,1,58.4
sub-03,Rnd4Tmax2day2VB,5,146,97,97,1,66.4
sub-03,Rnd5Tmax1day1VA,5,161,98,98,1,60.9
sub-03,Rnd6Tmax2day2VA,5,116,77,77,1,66.4
sub-03,Rnd7Tmax1day1VA,5,161,20,20,1,12.4
sub-03,Rnd8Tmax2day3PF,5,129,74,73,2,56.6
sub-03,Rnd9Tmax1day3PF,5,117,21,16,2,13.7
sub-04,Rnd1Tmax2day1VB,5,140,95,95,1,67.9
sub-04,Rnd2Tmax2day2VB,5,160,87,87,1,54.4
sub-04,Rnd3Tmax1day1VA,5,141,97,97,1,68.8
sub-04,Rnd4Tmax1day2VA,5,168,101,101,1,60.1
sub-04,Rnd5Tmax2day2VA,5,182,49,38,2,20.9
sub-04,Rnd6Tmax2day1VA,5,203,67,62,2,30.5
sub-05,Rnd1Tmax2day1VB,7,176,93,92,2,52.3
sub-05,Rnd2Tmax2day1VB,7,175,99,99,1,56.6
sub-05,Rnd3Tmax2day1VB,7,167,96,96,1,57.5
sub-05,Rnd4Tmax2day3PF,7,221,67,66,2,29.9
sub-05,Rnd5Tmax2day1VB,7,196,100,100,1,51.0
sub-05,Rnd6Tmax1day1VA,7,136,32,32,1,23.5
sub-05,Rnd7Tmax2day3PF,7,160,59,59,1,36.9
sub-05,Rnd8Tmax2day1VB,7,123,21,17,2,13.8
sub-05,Rnd9Tmax2day5BCBL,7,128,17,16,2,12.5
sub-05,Rnd10Tmax1day6BCBL,7,236,19,13,2,5.5
sub-05,Rnd11Tmax2day1VA,7,180,33,33,1,18.3
