subj,roi,round,n,centroid_y,faces_p90,limbs_p90,faces_supra,limbs_supra,pct_clean,roi_nontarget_score
sub-01,Rnd1Tmax2day2VB,1,169,-80.22254943847656,13.91,13.96,45,33,72.8,0.3207
sub-01,Rnd2Tmax1day1VA,2,182,-89.72359466552734,13.91,13.96,115,90,33.0,0.1167
sub-01,Rnd3Tmax1day2VB,3,125,-71.49151611328125,13.91,13.96,39,51,56.0,0.1336
sub-01,Rnd4Tmax1day2VA,4,180,-59.687740325927734,13.91,13.96,0,0,100.0,0.7393
sub-01,Rnd5Tmax1day3PF,5,103,-55.181678771972656,13.91,13.96,2,0,98.1,0.5716
sub-01,Rnd6Tmax2day3PF,6,60,-45.448909759521484,13.91,13.96,0,0,100.0,0.7215
sub-02,Rnd1Tmax2day1VA,1,123,-30.870325088500977,15.95,12.44,65,8,47.2,0.1026
sub-02,Rnd2Tmax2day2VA,2,129,-22.64213752746582,15.95,12.44,32,0,75.2,0.2291
sub-02,Rnd3Tmax1day2VA,3,126,-25.140832901000977,15.95,12.44,71,20,42.9,0.1265
sub-02,Rnd4Tmax1day1VA,4,155,-40.12785720825195,15.95,12.44,93,88,38.1,0.1526
sub-02,Rnd5Tmax2day2VA,5,141,-40.49485778808594,15.95,12.44,6,33,75.9,0.4215
sub-02,Rnd6Tmax2day1VB,6,182,-11.888402938842773,15.95,12.44,0,0,100.0,0.524
sub-03,Rnd1Tmax1day2VA,1,142,-57.192623138427734,13.31,11.6,71,58,40.8,0.1348
sub-03,Rnd2Tmax2day2VB,2,147,-10.943055152893066,13.31,11.6,0,0,100.0,0.7521
sub-03,Rnd3Tmax2day2VA,3,166,-27.062957763671875,13.31,11.6,127,11,23.5,0.0338
sub-03,Rnd4Tmax2day2VB,4,146,-33.2811279296875,13.31,11.6,4,26,79.5,0.3305
sub-03,Rnd5Tmax1day1VA,5,161,-41.071266174316406,13.31,11.6,36,57,50.9,0.1176
sub-03,Rnd6Tmax2day2VA,6,116,-31.460304260253906,13.31,11.6,0,0,100.0,0.349
sub-03,Rnd7Tmax1day1VA,7,161,-13.242738723754883,13.31,11.6,0,0,100.0,0.7464
sub-03,Rnd8Tmax2day3PF,8,129,-38.52481460571289,13.31,11.6,0,53,58.9,0.1747
sub-03,Rnd9Tmax1day3PF,9,117,-23.378406524658203,13.31,11.6,17,9,85.5,0.3993
sub-04,Rnd1Tmax2day1VB,1,140,-46.53822326660156,13.42,14.19,2,3,96.4,0.4598
sub-04,Rnd2Tmax2day2VB,2,160,-35.44126510620117,13.42,14.19,0,0,100.0,0.8826
sub-04,Rnd3Tmax1day1VA,3,141,-65.63655853271484,13.42,14.19,102,74,26.2,0.0524
sub-04,Rnd4Tmax1day2VA,4,168,-40.484317779541016,13.42,14.19,85,4,49.4,0.1354
sub-04,Rnd5Tmax2day2VA,5,182,-13.798755645751953,13.42,14.19,0,0,100.0,0.917
sub-04,Rnd6Tmax2day1VA,6,203,-53.4023551940918,13.42,14.19,28,108,44.3,0.1771
sub-05,Rnd1Tmax2day1VB,1,176,-43.58332061767578,17.22,12.9,37,80,54.0,0.1524
sub-05,Rnd2Tmax2day1VB,2,175,-31.381290435791016,17.22,12.9,0,0,100.0,0.7561
sub-05,Rnd3Tmax2day1VB,3,167,-11.33486557006836,17.22,12.9,20,0,88.0,0.288
sub-05,Rnd4Tmax2day3PF,4,221,-33.51777267456055,17.22,12.9,0,15,93.2,0.401
sub-05,Rnd5Tmax2day1VB,5,196,-50.767784118652344,17.22,12.9,101,21,45.4,0.0991
sub-05,Rnd6Tmax1day1VA,6,136,-54.00377655029297,17.22,12.9,24,36,73.5,0.2474
sub-05,Rnd7Tmax2day3PF,7,160,-39.42311477661133,17.22,12.9,16,45,61.9,0.1856
sub-05,Rnd8Tmax2day1VB,8,123,-16.056352615356445,17.22,12.9,0,0,100.0,0.8153
sub-05,Rnd9Tmax2day5BCBL,9,128,-52.46670913696289,17.22,12.9,7,28,78.1,0.1244
sub-05,Rnd10Tmax1day6BCBL,10,236,-21.919776916503906,17.22,12.9,3,27,87.3,0.3402
sub-05,Rnd11Tmax2day1VA,11,180,-34.13660430908203,17.22,12.9,91,28,45.0,0.1387
